host,model,i,action,outcome,code,state_write,admission_ms,decision_ms,encode_ms,commit_ms,projection_ms,e2e_ms
phone-android,tiny,1346,move,rejected,exit_unavailable,0,0.7479,0.5581,0.0854,3.4675,0.1296,4.9886
phone-android,tiny,1347,wait,rejected,invalid_time,0,0.6074,0.4989,0.0830,3.3930,0.1175,4.6998
phone-android,tiny,1348,look,accepted,observed,0,0.5743,0.5882,0.0830,3.7341,0.1420,5.1216
phone-android,tiny,1349,move,accepted,moved,1,0.8466,0.5520,0.1688,5.0569,0.1992,6.8235
phone-android,tiny,1350,look,accepted,observed,0,0.8776,0.5049,0.0786,4.0446,0.1692,5.6749
phone-android,tiny,1351,wait,rejected,invalid_time,0,0.7226,0.5045,0.0827,3.3613,0.1292,4.8003
phone-android,tiny,1352,talk,rejected,not_eligible,0,0.6276,0.4621,0.0816,3.6403,0.1604,4.9719
phone-android,tiny,1353,wait,rejected,invalid_time,0,0.8707,0.5296,0.0817,4.4751,0.1704,6.1274
phone-android,tiny,1354,move,accepted,moved,1,0.9808,0.5998,0.1696,5.8936,0.2026,7.8465
phone-android,tiny,1355,move,accepted,moved,1,0.9287,0.5541,0.1852,4.5550,0.1743,6.3972
phone-android,tiny,1356,close_choice,rejected,invalid_choice,0,0.7289,0.4806,0.0802,3.2394,0.1540,4.6830
phone-android,tiny,1357,talk,rejected,not_eligible,0,0.7402,0.4714,0.0801,3.4796,0.2353,5.0065
phone-android,tiny,1358,move,accepted,moved,1,0.7333,0.4974,0.1656,4.1673,0.1698,5.7335
phone-android,tiny,1359,choose,rejected,invalid_choice,0,0.7143,0.5622,0.0886,3.3183,0.1646,4.8481
phone-android,tiny,1360,move,accepted,moved,1,0.7592,0.4971,0.1668,4.1933,0.1631,5.7795
phone-android,tiny,1361,move,accepted,moved,1,0.7945,0.5261,0.1712,4.1779,0.1737,5.8434
phone-android,tiny,1362,move,rejected,exit_unavailable,0,0.6983,0.5807,0.0855,3.4239,0.1514,4.9397
phone-android,tiny,1363,move,accepted,moved,1,0.8056,0.5152,0.1665,4.3936,0.2075,6.0884
phone-android,tiny,1364,move,accepted,moved,1,0.8018,0.5184,0.1679,4.1945,0.1545,5.8371
phone-android,tiny,1365,move,rejected,exit_unavailable,0,0.6522,0.4980,0.0819,2.6954,0.1503,4.0778
phone-android,tiny,1366,move,accepted,moved,1,0.6554,0.5122,0.1684,3.9633,0.1809,5.4803
phone-android,tiny,1367,activate,rejected,not_eligible,0,0.7502,0.5088,0.0810,3.4054,0.1529,4.8982
phone-android,tiny,1368,talk,rejected,not_eligible,0,0.7482,0.4683,0.0809,3.5755,0.1555,5.0285
phone-android,tiny,1369,move,accepted,moved,1,0.7546,0.5356,0.1664,4.6845,0.1723,6.3134
phone-android,tiny,1370,activate,rejected,not_eligible,0,0.7276,0.4611,0.0796,3.5155,0.1541,4.9378
phone-android,tiny,1371,look,accepted,observed,0,0.7495,0.4641,0.0780,4.1331,0.1453,5.5699
phone-android,tiny,1372,look,accepted,observed,0,0.7110,0.5430,0.0798,4.1817,0.1755,5.6909
phone-android,tiny,1373,look,accepted,observed,0,0.9082,0.5300,0.0958,4.3229,0.1923,6.0493
phone-android,tiny,1374,move,accepted,moved,1,0.9710,0.5997,0.1756,4.6838,0.1957,6.6258
phone-android,tiny,1375,look,accepted,observed,0,0.9160,0.5175,0.0793,3.8196,0.1517,5.4842
phone-android,tiny,1376,move,accepted,moved,1,0.8183,0.5103,0.1684,4.1119,0.1685,5.7774
phone-android,tiny,1377,move,rejected,exit_unavailable,0,0.6571,0.5772,0.0852,3.3048,0.1551,4.7793
phone-android,tiny,1378,move,accepted,moved,1,0.7473,0.5218,0.1679,4.0960,0.1708,5.7038
phone-android,tiny,1379,wait,rejected,invalid_time,0,0.7402,0.5027,0.0826,3.7416,0.1759,5.2429
phone-android,tiny,1380,look,accepted,observed,0,0.9313,0.5276,0.0820,3.7986,0.1810,5.5205
phone-android,tiny,1381,look,accepted,observed,0,0.8785,0.5244,0.1036,3.5408,0.1525,5.1997
phone-android,tiny,1382,look,accepted,observed,0,0.7459,0.5723,0.1059,3.4997,0.1926,5.1164
phone-android,tiny,1383,move,accepted,moved,1,0.9475,0.5808,0.2082,4.6604,0.1960,6.5929
phone-android,tiny,1384,take,replayed,not_present,0,1.4175,0.4699,0.0029,0.0009,0.0596,1.9507
phone-android,tiny,1385,move,rejected,exit_unavailable,0,0.4575,0.5322,1.1986,3.9143,0.1493,6.2520
phone-android,tiny,1386,look,accepted,observed,0,0.9893,0.5323,0.0789,3.6368,0.1506,5.3879
phone-android,tiny,1387,take,rejected,not_present,0,0.7578,0.4666,0.0815,3.1355,0.1306,4.5719
phone-android,tiny,1388,look,accepted,observed,0,0.6664,0.5165,0.0820,2.8465,0.1067,4.2180
phone-android,tiny,1389,look,accepted,observed,0,0.6311,0.4786,0.0808,2.9595,0.1203,4.2704
phone-android,tiny,1390,wait,rejected,invalid_time,0,0.6243,0.5121,0.0822,2.7378,0.1212,4.0776
phone-android,tiny,1391,look,accepted,observed,0,0.5593,0.4808,0.0808,3.0146,0.1320,4.2676
phone-android,tiny,1392,choose,rejected,invalid_choice,0,0.6443,0.5917,0.0804,3.1173,0.1469,4.5805
phone-android,tiny,1393,move,accepted,moved,1,0.7300,0.5114,0.1695,4.6463,0.1988,6.2560
phone-android,tiny,1394,choose,rejected,invalid_choice,0,0.7211,0.5395,0.0791,5.1014,0.1994,6.6404
phone-android,tiny,1395,look,accepted,observed,0,0.8818,0.5323,0.0818,4.2502,0.1904,5.9365
phone-android,tiny,1396,move,accepted,moved,1,1.1504,0.6354,0.1954,4.8689,0.1747,7.0247
phone-android,tiny,1397,move,accepted,moved,1,0.7864,0.5618,0.1898,4.0336,0.1795,5.7511
phone-android,tiny,1398,look,accepted,observed,0,0.7240,0.5761,0.0929,3.4437,0.1811,5.0178
phone-android,tiny,1399,move,accepted,moved,1,0.8725,0.5932,0.2114,4.3071,0.2208,6.2050
phone-android,tiny,1400,take,rejected,not_present,0,0.9923,0.4937,0.0958,3.6186,0.1359,5.3364
phone-android,tiny,1401,take,rejected,not_present,0,0.7344,0.5237,0.0818,3.5370,0.1155,4.9925
phone-android,tiny,1402,wait,rejected,invalid_time,0,0.7852,0.5351,0.0805,3.5478,0.1336,5.0822
phone-android,tiny,1403,look,accepted,observed,0,0.6763,0.6044,0.0796,3.5263,0.1259,5.0125
phone-android,tiny,1404,look,accepted,observed,0,0.6123,0.4870,0.0786,3.2730,0.1139,4.5647
phone-android,tiny,1405,look,accepted,observed,0,0.5675,0.4828,0.0801,3.1161,0.1248,4.3712
phone-android,tiny,1406,look,accepted,observed,0,0.6987,0.4890,0.0792,3.2065,0.1106,4.5840
phone-android,tiny,1407,look,accepted,observed,0,0.5951,0.4811,0.0798,3.3404,0.1142,4.6107
phone-android,tiny,1408,wait,rejected,invalid_time,0,0.5767,0.5528,0.0969,3.3208,0.1080,4.6552
phone-android,tiny,1409,move,accepted,moved,1,0.5755,0.5295,0.1711,4.1317,0.1363,5.5441
phone-android,tiny,1410,move,accepted,moved,1,0.5745,0.5773,0.1673,5.1640,0.1584,6.6416
phone-android,tiny,1411,wait,rejected,invalid_time,0,0.7188,0.6210,0.0833,3.9313,0.1147,5.4690
phone-android,tiny,1412,move,accepted,moved,1,0.6093,0.5320,0.1726,4.4109,0.1412,5.8660
phone-android,tiny,1413,look,accepted,observed,0,0.5551,0.5065,0.0803,3.4758,0.1177,4.7354
phone-android,tiny,1414,wait,rejected,invalid_time,0,0.5971,0.5045,0.0853,3.2882,0.1136,4.5886
