host,model,i,action,outcome,code,state_write,admission_ms,decision_ms,encode_ms,commit_ms,projection_ms,e2e_ms,bytes_written,host_encode_ms
node-local,tiny,1433,move,rejected,exit_unavailable,0,0.0116,0.0150,0.0023,0.3216,0.0027,0.3533,169,0.0070
node-local,tiny,1434,move,accepted,moved,1,0.0114,0.0155,0.0027,0.3197,0.0036,0.3529,187,0.0070
node-local,tiny,1435,move,accepted,moved,1,0.0115,0.0150,0.0082,0.3112,0.0033,0.3491,191,0.0070
node-local,tiny,1436,move,accepted,moved,1,0.0120,0.0161,0.0026,0.3478,0.0035,0.3820,187,0.0072
node-local,tiny,1437,look,accepted,observed,0,0.0120,0.0139,0.0024,0.4085,0.0026,0.4395,161,0.0068
node-local,tiny,1438,move,accepted,moved,1,0.0112,0.0146,0.0025,0.3176,0.0035,0.3495,189,0.0070
node-local,tiny,1439,move,rejected,exit_unavailable,0,0.0112,0.0180,0.0024,0.2789,0.0027,0.3132,169,0.0071
node-local,tiny,1440,move,accepted,moved,1,0.0152,0.0345,0.0028,0.3740,0.0038,0.4303,187,0.0078
node-local,tiny,1441,move,accepted,moved,1,0.0121,0.0154,0.0026,0.3297,0.0033,0.3632,189,0.0070
node-local,tiny,1442,look,accepted,observed,0,0.0115,0.0130,0.0023,0.3195,0.0030,0.3494,161,0.0070
node-local,tiny,1443,wait,rejected,invalid_time,0,0.0134,0.0162,0.0024,0.3209,0.0027,0.3556,165,0.0072
node-local,tiny,1444,move,rejected,exit_unavailable,0,0.0113,0.0140,0.0023,0.2901,0.0028,0.3205,169,0.0070
node-local,tiny,1445,talk,rejected,not_owned,0,0.0114,0.0145,0.0024,0.2842,0.0033,0.3158,162,0.0068
node-local,tiny,1446,look,accepted,observed,0,0.0130,0.0129,0.0026,0.2944,0.0027,0.3256,161,0.0071
node-local,tiny,1447,look,accepted,observed,0,0.0120,0.0133,0.0024,0.2943,0.0026,0.3247,161,0.0068
node-local,tiny,1448,look,accepted,observed,0,0.0111,0.0126,0.0023,0.2935,0.0036,0.3231,161,0.0070
node-local,tiny,1449,choose,rejected,invalid_choice,0,0.0139,0.0182,0.0025,0.3008,0.0027,0.3380,167,0.0069
