host,model,i,action,outcome,code,state_write,admission_ms,decision_ms,encode_ms,commit_ms,projection_ms,e2e_ms,bytes_written,host_encode_ms
phone-android,tiny,1422,move,accepted,moved,1,0.6461,0.3711,0.0520,4.4524,0.1057,5.6275,187,0.1462
phone-android,tiny,1423,move,rejected,exit_unavailable,0,0.5730,0.3460,0.0462,3.3840,0.0879,4.4371,169,0.1447
phone-android,tiny,1424,move,accepted,moved,1,0.6079,0.4303,0.0556,4.4741,0.1125,5.6804,191,0.1499
phone-android,tiny,1425,look,accepted,observed,0,0.6292,0.3320,0.0473,3.5264,0.0820,4.6169,161,0.1709
phone-android,tiny,1426,move,accepted,moved,1,0.5989,0.3674,0.0545,4.5002,0.1052,5.6261,187,0.1484
phone-android,tiny,1427,move,accepted,moved,1,0.5875,0.4630,0.0506,4.9915,0.1381,6.2307,191,0.1649
phone-android,tiny,1428,take,rejected,not_present,0,0.8184,0.3806,0.0501,3.5615,0.0985,4.9091,164,0.1537
phone-android,tiny,1429,look,accepted,observed,0,0.6218,0.3386,0.0469,4.1272,0.0870,5.2216,161,0.1451
phone-android,tiny,1430,look,accepted,observed,0,0.6270,0.3441,0.0453,3.7003,0.1085,4.8252,161,0.1580
phone-android,tiny,1431,talk,rejected,not_eligible,0,0.7909,0.3757,0.0513,3.5801,0.0956,4.8935,165,0.1863
phone-android,tiny,1432,look,accepted,observed,0,0.7083,0.3674,0.0480,3.7018,0.0876,4.9132,161,0.1482
phone-android,tiny,1433,move,rejected,exit_unavailable,0,0.5784,0.3325,0.0470,3.4684,0.0860,4.5124,169,0.1401
phone-android,tiny,1434,move,accepted,moved,1,0.6522,0.3694,0.0533,4.4290,0.1106,5.6144,187,0.1485
phone-android,tiny,1435,move,accepted,moved,1,0.6247,0.4082,0.0567,4.3718,0.1013,5.5627,191,0.1477
