host,model,i,action,outcome,code,state_write,admission_ms,decision_ms,encode_ms,commit_ms,projection_ms,e2e_ms
m1-server,tiny,1383,move,accepted,moved,1,0.0092,0.0041,0.0032,0.0620,0.0021,0.0806
m1-server,tiny,1384,take,replayed,not_present,0,0.0131,0.0031,0.0001,0.0000,0.0016,0.0180
m1-server,tiny,1385,move,rejected,exit_unavailable,0,0.0072,0.0034,0.0013,0.0645,0.0022,0.0785
m1-server,tiny,1386,look,accepted,observed,0,0.0095,0.0035,0.0012,0.0496,0.0018,0.0655
m1-server,tiny,1387,take,rejected,not_present,0,0.0091,0.0035,0.0013,0.0503,0.0018,0.0660
m1-server,tiny,1388,look,accepted,observed,0,0.0090,0.0032,0.0013,0.0495,0.0017,0.0648
m1-server,tiny,1389,look,accepted,observed,0,0.0089,0.0032,0.0012,0.0509,0.0018,0.0660
m1-server,tiny,1390,wait,rejected,invalid_time,0,0.0090,0.0036,0.0012,0.0512,0.0021,0.0670
m1-server,tiny,1391,look,accepted,observed,0,0.0095,0.0036,0.0012,0.0521,0.0018,0.0682
m1-server,tiny,1392,choose,rejected,invalid_choice,0,0.0090,0.0041,0.0013,0.0523,0.0018,0.0685
m1-server,tiny,1393,move,accepted,moved,1,0.0095,0.0039,0.0034,0.0826,0.0022,0.1016
m1-server,tiny,1394,choose,rejected,invalid_choice,0,0.0093,0.0042,0.0013,0.0532,0.0023,0.0703
m1-server,tiny,1395,look,accepted,observed,0,0.0102,0.0036,0.0013,0.0545,0.0021,0.0716
m1-server,tiny,1396,move,accepted,moved,1,0.0104,0.0043,0.0121,0.0737,0.0023,0.1027
m1-server,tiny,1397,move,accepted,moved,1,0.0096,0.0040,0.0034,0.0606,0.0027,0.0804
m1-server,tiny,1398,look,accepted,observed,0,0.0098,0.0037,0.0013,0.0539,0.0020,0.0707
m1-server,tiny,1399,move,accepted,moved,1,0.0103,0.0042,0.0033,0.0563,0.0027,0.0768
